Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2022-02-24,-0.017184416,0.0420593715,0.0406885124,21,100
Market-Adjusted Model,10028,2022-02-24,0.0121359685,0.0698338614,0.070008897,21,100
Market-Adjusted Model,10032,2022-02-24,0.0473531006,0.1058527383,0.1052260291,21,100
Market-Adjusted Model,10044,2022-02-24,-0.069034242,-0.010398832,-0.011161314,21,100
Market-Adjusted Model,10051,2022-02-24,0.1159505174,0.1714343274,0.1738234459,21,100
Market-Adjusted Model,10065,2022-02-24,-0.060154302,-0.002260269,-0.002281374,21,100
Market-Adjusted Model,10066,2022-02-24,-0.039215651,0.0230752986,0.0186572775,21,100
Market-Adjusted Model,10104,2022-02-24,-0.051243953,0.0093798326,0.0066289753,21,100
Market-Adjusted Model,10107,2022-02-24,-0.060345405,0.0001331182,-0.002472476,21,100
Market-Adjusted Model,10113,2022-02-24,-0.124970386,-0.070556463,-0.067097458,21,100
Market-Adjusted Model,10138,2022-02-24,-0.083950274,-0.026769002,-0.026077345,21,100
Market-Adjusted Model,10145,2022-02-24,-0.047333163,0.011641143,0.0105397656,21,100
Market-Adjusted Model,10158,2022-02-24,0.538217824,0.5161299371,0.5960907526,21,100
Market-Adjusted Model,10200,2022-02-24,-0.103372782,-0.037939618,-0.045499853,21,100
Market-Adjusted Model,10207,2022-02-24,0.043113727,0.1003394672,0.1009866556,21,100
Market-Adjusted Model,10220,2022-02-24,0.2133944729,0.2609569694,0.2712674014,21,100
Market-Adjusted Model,10232,2022-02-24,0.0083136936,0.0649980552,0.0661866221,21,100
Market-Adjusted Model,10252,2022-02-24,-0.041390379,0.0192161859,0.01648255,21,100
Market-Adjusted Model,10253,2022-02-24,0.3883898286,0.5774991148,0.4462627572,21,100
Market-Adjusted Model,10257,2022-02-24,-0.084246973,-0.015065943,-0.026374045,21,100
Market-Adjusted Model,10258,2022-02-24,0.0015903058,0.074348027,0.0594632343,21,100
Market-Adjusted Model,10294,2022-02-24,-0.014693132,0.0488668152,0.0431797968,21,100
Market-Adjusted Model,10308,2022-02-24,-0.021305601,0.0392971389,0.0365673276,21,100
Market-Adjusted Model,10318,2022-02-24,-0.032636495,0.0268257772,0.025236434,21,100
Market-Adjusted Model,10333,2022-02-24,0.3343526636,0.3598371782,0.3922255922,21,100
Market-Adjusted Model,10355,2022-02-24,-0.030774568,0.0290112881,0.0270983602,21,100
Market-Adjusted Model,10382,2022-02-24,-0.2239386,-0.186997302,-0.166065671,21,100
